name,mass_mj,radius_rj,period_days,semi_major_axis_au,temp_k,discovery_method,disc_year,distance_ly,star_mass_solar,star_temp_k,remarks,mass_earth,radius_earth,habitability_score,habitability_label
Kepler-249d,,0.14,15.368459,0.097,1093.7,transit,,1361.5,0.97,3568,[37],282.842,1.5694,39.0624,0
Kepler-250b,,0.101,4.148141,0.048,1093.7,transit,,1361.5,0.8,5160,[37],282.842,1.13221,36.43116,0
Kepler-250c,,0.203,7.156804,0.069,1093.7,transit,,1361.5,0.8,5160,[37],282.842,2.27563,32.27748,0
Kepler-250d,,0.194,17.648312,0.127,1093.7,transit,,1361.5,0.8,5160,[37],282.842,2.17474,33.84104,0
Kepler-251b,,0.119,4.790936,0.053,1093.7,transit,,1361.5,0.91,5526,[37],282.842,1.33399,37.92404,0
Kepler-251c,,0.247,16.514043,0.122,1093.7,transit,,1361.5,0.91,5526,[37],282.842,2.76887,33.56452,0
Kepler-251d,,0.247,30.133001,0.182,1093.7,transit,,1361.5,0.91,5526,[37],282.842,2.76887,34.76452,0
Kepler-251e,,0.247,99.640161,0.404,1093.7,transit,,1361.5,0.91,5526,[37],282.842,2.76887,39.20452,0
Kepler-252b,,0.11,6.668391,0.058,1093.7,transit,,1361.5,0.52,4208,[37],282.842,1.2331,30.6276,0
Kepler-252c,,0.192,10.848463,0.08,1093.7,transit,,1361.5,0.52,4208,[37],282.842,2.15232,27.39072,0
Kepler-253b,,0.145,3.783986,0.046,1093.7,transit,,1361.5,0.97,5208,[37],282.842,1.62545,37.8182,0
Kepler-253c,,0.236,10.281951,0.089,1093.7,transit,,1361.5,0.97,5208,[37],282.842,2.64556,34.59776,0
Kepler-253d,,0.283,18.119869,0.13,1093.7,transit,,1361.5,0.97,5208,[37],282.842,3.17243,33.31028,0
Kepler-254b,,0.345,5.826662,0.064,1093.7,transit,,1361.5,0.97,5957,[37],282.842,3.86745,29.2102,0
Kepler-254c,,0.192,12.412183,0.105,1093.7,transit,,1361.5,0.97,5957,[37],282.842,2.15232,36.89072,0
Kepler-254d,,0.223,18.746477,0.139,1093.7,transit,,1361.5,0.97,5957,[37],282.842,2.49983,36.18068,0
Kepler-255b,,0.138,5.714606,0.063,1093.7,transit,,1361.5,0.97,5573,[37],282.842,1.54698,38.47208,0
Kepler-255c,,0.267,9.946047,0.092,1093.7,transit,,1361.5,0.97,5573,[37],282.842,2.99307,33.26772,0
Kepler-256b,,0.142,1.620493,0.027,1093.7,transit,,1361.5,1.02,5551,[37],282.842,1.59182,37.77272,0
Kepler-256c,,0.192,3.38802,0.045,1093.7,transit,,1361.5,1.02,5551,[37],282.842,2.15232,35.89072,0
Kepler-256d,,0.221,5.839172,0.064,1093.7,transit,,1361.5,1.02,5551,[37],282.842,2.47741,34.97036,0
Kepler-256e,,0.21,10.681572,0.096,1093.7,transit,,1361.5,1.02,5551,[37],282.842,2.3541,36.1036,0
Kepler-257b,,0.233,2.382667,0.034,1093.7,transit,,1361.5,0.97,5180,[37],282.842,2.61193,33.63228,0
Kepler-257c,,0.483,6.581484,0.066,1093.7,transit,,1361.5,0.97,5180,[37],282.842,5.41443,23.06228,0
Kepler-257d,,0.442,24.664551,0.16,1093.7,transit,,1361.5,0.97,5180,[37],282.842,4.95482,26.78072,0
Kepler-258b,,0.362,13.19722,0.103,1093.7,transit,,1361.5,0.8,4942,[37],282.842,4.05802,25.82792,0
Kepler-258c,,0.322,33.653079,0.193,1093.7,transit,,1361.5,0.8,4942,[37],282.842,3.60962,29.42152,0
Kepler-259b,,0.25,8.115317,0.079,1093.7,transit,,1361.5,0.97,5938,[37],282.842,2.8025,33.77,0
Kepler-259c,,0.241,36.924931,0.217,1093.7,transit,,1361.5,0.97,5938,[37],282.842,2.70161,36.93356,0
Kepler-260b,,0.179,8.187399,0.075,1093.7,transit,,1361.5,0.88,5250,[37],282.842,2.00659,35.07364,0
Kepler-260c,,0.155,76.050178,0.332,1093.7,transit,,1361.5,0.88,5250,[37],282.842,1.73755,41.2898,0
Kepler-261b,,0.194,10.381227,0.088,1093.7,transit,,1361.5,0.87,5098,[37],282.842,2.17474,34.46104,0
Kepler-261c,,0.178,24.570858,0.156,1093.7,transit,,1361.5,0.87,5098,[37],282.842,1.99538,36.53848,0
Kepler-262b,,0.121,13.060855,0.108,1093.7,transit,,1361.5,0.97,5841,[37],282.842,1.35641,40.13436,0
Kepler-262c,,0.146,21.853722,0.152,1093.7,transit,,1361.5,0.97,5841,[37],282.842,1.63666,39.89336,0
Kepler-263b,,0.238,16.568087,0.12,1093.7,transit,,1361.5,0.97,5265,[37],282.842,2.66798,35.12808,0
Kepler-263c,,0.22,47.332773,0.242,1093.7,transit,,1361.5,0.97,5265,[37],282.842,2.4662,38.3752,0
Kepler-264b,,0.297,40.806231,0.249,1093.7,transit,,1361.5,1.32,6158,[37],282.842,3.32937,29.26252,0
Kepler-264c,,0.252,140.101261,0.566,1093.7,transit,,1361.5,1.32,6158,[37],282.842,2.82492,37.62032,0
Kepler-265b,,0.166,6.846262,0.069,1093.7,transit,,1361.5,1.03,5835,[37],282.842,1.86086,37.33656,0
Kepler-265c,,0.235,17.028937,0.127,1093.7,transit,,1361.5,1.03,5835,[37],282.842,2.63435,35.4026,0
Kepler-265d,,0.222,43.130617,0.236,1093.7,transit,,1361.5,1.03,5835,[37],282.842,2.48862,38.16552,0
Kepler-265e,,0.231,67.831024,0.319,1093.7,transit,,1361.5,1.03,5835,[37],282.842,2.58951,39.42196,0
Kepler-266b,,0.221,6.61833,0.071,1093.7,transit,,1361.5,0.99,5885,[37],282.842,2.47741,35.31036,0
Kepler-266c,,0.347,107.723601,0.457,1093.7,transit,,1361.5,0.99,5885,[37],282.842,3.88987,37.38052,0
Kepler-267b,,0.177,3.353728,0.037,1093.7,transit,,1361.5,0.56,4258,[37],282.842,1.98417,28.00332,0
Kepler-267c,,0.19,6.87745,0.06,1093.7,transit,,1361.5,0.56,4258,[37],282.842,2.1299,27.8804,0
Kepler-267d,,0.203,28.464515,0.154,1093.7,transit,,1361.5,0.56,4258,[37],282.842,2.27563,29.17748,0
Kepler-268b,,0.227,25.934138,0.18,1093.7,transit,,1361.5,0.97,6081,[37],282.842,2.54467,36.82132,0
Kepler-268c,,0.302,83.446393,0.391,1093.7,transit,,1361.5,0.97,6081,[37],282.842,3.38542,37.67832,0
Kepler-269b,,0.22,5.326718,0.061,1093.7,transit,,1361.5,0.98,5847,[37],282.842,2.4662,34.9552,0
Kepler-269c,,0.151,8.127899,0.081,1093.7,transit,,1361.5,0.98,5847,[37],282.842,1.69271,38.44916,0
Kepler-270b,,0.179,11.476094,0.107,1093.7,transit,,1361.5,0.97,6067,[37],282.842,2.00659,37.51364,0
Kepler-270c,,0.158,25.262887,0.18,1093.7,transit,,1361.5,0.97,6067,[37],282.842,1.77118,39.91528,0
Kepler-271b,,0.079,5.217738,0.056,1093.7,transit,,1361.5,0.97,5524,[37],282.842,0.88559,40.06236,0
Kepler-271c,,0.089,7.410935,0.071,1093.7,transit,,1361.5,0.97,5524,[37],282.842,0.99769,40.81076,0
Kepler-272b,,0.128,2.971353,0.038,1093.7,transit,,1361.5,0.79,5297,[37],282.842,1.43488,34.82048,0
Kepler-272c,,0.16,6.057342,0.061,1093.7,transit,,1361.5,0.79,5297,[37],282.842,1.7936,33.8456,0
Kepler-272d,,0.201,10.937304,0.091,1093.7,transit,,1361.5,0.79,5297,[37],282.842,2.25321,32.60716,0
Kepler-273b,,0.134,2.936532,0.037,1093.7,transit,,1361.5,0.97,5626,[37],282.842,1.50214,38.13144,0
Kepler-273c,,0.177,8.014927,0.073,1093.7,transit,,1361.5,0.97,5626,[37],282.842,1.98417,36.92332,0
Kepler-274b,,0.137,11.634788,0.101,1093.7,transit,,1361.5,0.97,6023,[37],282.842,1.53577,39.27692,0
Kepler-274c,,0.164,33.197861,0.204,1093.7,transit,,1361.5,0.97,6023,[37],282.842,1.83844,40.12624,0
Kepler-275b,,0.209,10.300682,0.098,1093.7,transit,,1361.5,1.24,6165,[37],282.842,2.34289,31.78844,0
Kepler-275c,,0.302,16.088134,0.132,1093.7,transit,,1361.5,1.24,6165,[37],282.842,3.38542,28.29832,0
Kepler-275d,,0.297,35.676062,0.224,1093.7,transit,,1361.5,1.24,6165,[37],282.842,3.32937,30.36252,0
Kepler-276b,,0.256,14.12841,0.119,1093.7,transit,,1361.5,1.1,6105,[37],282.842,2.86976,32.90096,0
Kepler-278b,,0.363,30.160546,0.207,1093.7,transit,,1361.5,0.97,4991,[37],282.842,4.06923,31.26308,0
Kepler-278c,,0.32,51.078775,0.294,1093.7,transit,,1361.5,0.97,4991,[37],282.842,3.5872,34.9312,0
Kepler-280b,,0.129,2.139542,0.032,1093.7,transit,,1361.5,0.91,5744,[37],282.842,1.44609,37.05564,0
Kepler-280c,,0.179,4.807091,0.056,1093.7,transit,,1361.5,0.91,5744,[37],282.842,2.00659,35.29364,0
Kepler-281b,,0.252,14.646008,0.117,1093.7,transit,,1361.5,0.98,5723,[37],282.842,2.82492,34.64032,0
Kepler-281c,,0.474,36.337373,0.215,1093.7,transit,,1361.5,0.98,5723,[37],282.842,5.31354,26.64584,0
Kepler-282b,,0.09,9.220524,0.082,1093.7,transit,,1361.5,0.97,5602,[37],282.842,1.0089,41.0044,0
Kepler-282c,,0.107,13.638723,0.106,1093.7,transit,,1361.5,0.97,5602,[37],282.842,1.19947,40.72212,0
Kepler-283b,,0.19,11.008151,0.082,1093.7,transit,,1361.5,0.97,4351,[37],282.842,2.1299,36.5204,0
Kepler-283c,,0.162,92.743711,0.341,1093.7,transit,,1361.5,0.97,4351,[37],282.842,1.81602,42.95592,0
Kepler-284b,,0.2,12.699149,0.104,1093.7,transit,,1361.5,0.97,5615,[37],282.842,2.242,36.512,0
Kepler-284c,,0.233,37.514456,0.213,1093.7,transit,,1361.5,0.97,5615,[37],282.842,2.61193,37.21228,0
Kepler-285b,,0.12,2.633867,0.036,1093.7,transit,,1361.5,0.85,5411,[37],282.842,1.3452,36.3392,0
Kepler-285c,,0.1,6.186676,0.064,1093.7,transit,,1361.5,0.85,5411,[37],282.842,1.121,37.796,0
Kepler-286b,,0.111,1.796302,0.027,1093.7,transit,,1361.5,0.97,5580,[37],282.842,1.24431,38.96276,0
Kepler-286c,,0.122,3.468095,0.042,1093.7,transit,,1361.5,0.97,5580,[37],282.842,1.36762,38.76952,0
Kepler-286d,,0.119,5.914323,0.061,1093.7,transit,,1361.5,0.97,5580,[37],282.842,1.33399,39.28404,0
Kepler-286e,,0.158,29.221289,0.176,1093.7,transit,,1361.5,0.97,5580,[37],282.842,1.77118,39.83528,0
Kepler-287b,,0.208,20.342199,0.145,1093.7,transit,,1361.5,0.97,5806,[37],282.842,2.33168,36.97328,0
Kepler-287c,,0.291,44.851896,0.246,1093.7,transit,,1361.5,0.97,5806,[37],282.842,3.26211,35.27156,0
Kepler-288b,,0.149,6.097326,0.065,1093.7,transit,,1361.5,0.89,5918,[37],282.842,1.67029,36.41884,0
Kepler-288c,,0.254,19.305772,0.14,1093.7,transit,,1361.5,0.89,5918,[37],282.842,2.84734,33.21064,0
Kepler-288d,,0.238,56.633742,0.287,1093.7,transit,,1361.5,0.89,5918,[37],282.842,2.66798,36.86808,0
Kepler-289b,0.023,0.192,34.545,0.21,1093.7,transit,,1361.5,1.08,5990,[37],7.3094,2.15232,45.37192,0
Kepler-289c,0.42,1.034,125.8518,0.51,1093.7,transit,,1361.5,1.08,5990,[37],133.476,11.59114,28.6,0
Kepler-289d,0.013,0.239,66.0634,0.33,1093.7,transit,,1361.5,1.08,5990,?,4.1314,2.67919,52.02044,1
Kepler-290b,,0.201,14.589347,0.11,1093.7,transit,,1361.5,0.97,5147,[37],282.842,2.25321,36.58716,0
Kepler-290c,,0.241,36.77031,0.205,1093.7,transit,,1361.5,0.97,5147,[37],282.842,2.70161,36.69356,0
Kepler-291b,,0.193,3.546511,0.047,1093.7,transit,,1361.5,1.03,6002,[37],282.842,2.16353,35.68588,0
Kepler-291c,,0.168,5.700786,0.065,1093.7,transit,,1361.5,1.03,6002,[37],282.842,1.88328,37.16688,0
Kepler-292b,,0.118,2.580827,0.035,1093.7,transit,,1361.5,0.88,5299,[37],282.842,1.32278,37.00888,0
Kepler-292c,,0.131,3.715335,0.045,1093.7,transit,,1361.5,0.88,5299,[37],282.842,1.46851,36.62596,0
Kepler-292d,,0.199,7.055679,0.068,1093.7,transit,,1361.5,0.88,5299,[37],282.842,2.23079,34.03684,0
Kepler-292e,,0.238,11.97901,0.097,1093.7,transit,,1361.5,0.88,5299,[37],282.842,2.66798,32.86808,0
Kepler-292f,,0.21,20.834237,0.141,1093.7,transit,,1361.5,0.88,5299,[37],282.842,2.3541,35.0036,0
Kepler-293b,,0.274,19.254196,0.144,1093.7,transit,,1361.5,1.01,5804,[37],282.842,3.07154,34.39384,0
Kepler-293c,,0.342,54.155743,0.286,1093.7,transit,,1361.5,1.01,5804,[37],282.842,3.83382,34.18472,0
Kepler-294b,,0.158,3.701212,0.048,1093.7,transit,,1361.5,0.97,5913,[37],282.842,1.77118,37.27528,0
Kepler-294c,,0.242,6.6264,0.071,1093.7,transit,,1361.5,0.97,5913,[37],282.842,2.71282,33.96872,0
Kepler-295b,,0.109,12.645164,0.099,1093.7,transit,,1361.5,0.97,5603,[37],282.842,1.22189,40.49244,0
Kepler-295c,,0.104,21.526258,0.142,1093.7,transit,,1361.5,0.97,5603,[37],282.842,1.16584,41.57664,0
Kepler-295d,,0.121,33.884054,0.192,1093.7,transit,,1361.5,0.97,5603,[37],282.842,1.35641,41.81436,0
Kepler-296b,,0.144,10.864384,0.079,1093.7,transit,,740,0.5,3740,[37],282.842,1.61424,29.12304,0
Kepler-296c,,0.178,5.8416366,0.0521,1093.7,transit,,740,0.5,3740,[37],282.842,1.99538,27.06048,0
Kepler-296d,,0.186,19.850291,0.118,1093.7,transit,,740,0.5,3740,[37],282.842,2.08506,28.01976,0
Kepler-296e,,0.136,34.14211,0.169,1093.7,transit,,740,0.5,3740,[37],282.842,1.52456,31.28176,0
Kepler-296f,,0.161,63.33627,0.255,1093.7,transit,,740,0.5,3740,[37],282.842,1.80481,31.88076,0
Kepler-297b,,0.256,38.871826,0.217,1093.7,transit,,1361.5,0.97,5619,[37],282.842,2.86976,36.26096,0
Kepler-297c,,0.583,74.920137,0.336,1093.7,transit,,1361.5,0.97,5619,[37],282.842,6.53543,26.12,0
Kepler-298b,,0.175,10.475464,0.08,1093.7,transit,,1361.5,0.65,4465,[37],282.842,1.96175,30.753,0
Kepler-298c,,0.172,22.92881,0.136,1093.7,transit,,1361.5,0.65,4465,[37],282.842,1.92812,32.00752,0
Kepler-298d,,0.223,77.473633,0.305,1093.7,transit,,1361.5,0.65,4465,[37],282.842,2.49983,33.10068,0
Kepler-299b,,0.118,2.927128,0.04,1093.7,transit,,1361.5,0.97,5617,[37],282.842,1.32278,38.90888,0
Kepler-299c,,0.236,6.885875,0.07,1093.7,transit,,1361.5,0.97,5617,[37],282.842,2.64556,34.21776,0
Kepler-299d,,0.166,15.054786,0.118,1093.7,transit,,1361.5,0.97,5617,[37],282.842,1.86086,38.31656,0
Kepler-299e,,0.167,38.285489,0.22,1093.7,transit,,1361.5,0.97,5617,[37],282.842,1.87207,40.31172,0
Kepler-300b,,0.149,10.446347,0.094,1093.7,transit,,1361.5,0.94,5986,[37],282.842,1.67029,37.99884,0
Kepler-300c,,0.201,40.714955,0.232,1093.7,transit,,1361.5,0.94,5986,[37],282.842,2.25321,38.42716,0
Kepler-301b,,0.12,2.508553,0.036,1093.7,transit,,1361.5,0.91,5815,[37],282.842,1.3452,37.5392,0
Kepler-301c,,0.12,5.419026,0.06,1093.7,transit,,1361.5,0.91,5815,[37],282.842,1.3452,38.0192,0
Kepler-301d,,0.156,13.751243,0.112,1093.7,transit,,1361.5,0.91,5815,[37],282.842,1.74876,37.44496,0
Kepler-302b,,0.362,30.184104,0.193,1093.7,transit,,1361.5,0.97,5740,[37],282.842,4.05802,31.02792,0
Kepler-302c,,1.111,127.282184,0.503,1093.7,transit,,1361.5,0.97,5740,[37],282.842,12.45431,29.46,0
Kepler-303b,,0.079,1.937055,0.024,1093.7,transit,,1361.5,0.59,3944,[37],282.842,0.88559,31.82236,0
Kepler-303c,,0.102,7.061149,0.057,1093.7,transit,,1361.5,0.59,3944,[37],282.842,1.14342,32.36632,0
Kepler-304b,,0.255,3.295709,0.039,1093.7,transit,,1361.5,0.8,4731,[37],282.842,2.85855,29.3458,0
Kepler-304c,,0.194,5.315946,0.054,1093.7,transit,,1361.5,0.8,4731,[37],282.842,2.17474,32.38104,0
Kepler-304d,,0.245,9.653471,0.08,1093.7,transit,,1361.5,0.8,4731,[37],282.842,2.74645,30.6142,0
Kepler-305d,,0.242,16.738661,0.121,1093.7,transit,,1361.5,0.76,5100,[37],282.842,2.71282,30.76872,0
Kepler-306b,,0.136,4.646186,0.05,1093.7,transit,,1361.5,0.82,4954,[37],282.842,1.52456,35.30176,0
Kepler-306c,,0.21,7.240193,0.067,1093.7,transit,,1361.5,0.82,4954,[37],282.842,2.3541,32.3236,0
Kepler-306d,,0.22,17.326644,0.12,1093.7,transit,,1361.5,0.82,4954,[37],282.842,2.4662,32.9352,0
Kepler-306e,,0.203,44.840975,0.227,1093.7,transit,,1361.5,0.82,4954,[37],282.842,2.27563,35.83748,0
Kepler-308b,,0.189,9.694928,0.09,1093.7,transit,,1361.5,0.97,5895,[37],282.842,2.11869,36.72524,0
Kepler-308c,,0.193,15.38231,0.123,1093.7,transit,,1361.5,0.97,5895,[37],282.842,2.16353,37.20588,0
Kepler-309b,,0.139,5.923653,0.059,1093.7,transit,,1361.5,0.97,4713,[37],282.842,1.55819,38.34724,0
Kepler-309c,,0.224,105.356383,0.401,1093.7,transit,,1361.5,0.97,4713,[37],282.842,2.51104,41.37584,0
Kepler-310b,,0.106,13.930698,0.111,1093.7,transit,,1361.5,0.85,5797,[37],282.842,1.18826,38.46696,0
Kepler-310c,,0.302,56.47542,0.281,1093.7,transit,,1361.5,0.85,5797,[37],282.842,3.38542,33.07832,0
Kepler-310d,,0.22,92.876125,0.392,1093.7,transit,,1361.5,0.85,5797,[37],282.842,2.4662,38.9752,0
Kepler-311b,,0.152,9.176092,0.087,1093.7,transit,,1361.5,1.06,5905,[37],282.842,1.70392,37.72432,0
Kepler-311c,,0.128,19.738286,0.145,1093.7,transit,,1361.5,1.06,5905,[37],282.842,1.43488,39.96048,0
Kepler-312b,,0.115,1.772419,0.031,1093.7,transit,,1361.5,1.23,6115,[37],282.842,1.28915,34.8634,0
Kepler-312c,,0.281,19.747412,0.153,1093.7,transit,,1361.5,1.23,6115,[37],282.842,3.15001,29.85996,0
Kepler-313b,,0.226,14.970418,0.125,1093.7,transit,,1361.5,0.9,5727,[37],282.842,2.53346,34.36616,0
Kepler-313c,,0.229,32.273273,0.208,1093.7,transit,,1361.5,0.9,5727,[37],282.842,2.56709,35.89164,0
Kepler-314b,,0.074,2.461069,0.035,1093.7,transit,,1361.5,1.02,5378,[37],282.842,0.82954,39.61816,0
Kepler-314c,,0.259,5.960392,0.064,1093.7,transit,,1361.5,1.02,5378,[37],282.842,2.90339,33.26644,0
Kepler-315b,,0.336,96.101141,0.402,1093.7,transit,,1361.5,0.78,5796,[37],282.842,3.76656,32.57376,0
Kepler-315c,,0.37,265.469335,0.791,1093.7,transit,,1361.5,0.78,5796,[37],282.842,4.1477,38.8292,0
Kepler-316b,,0.095,2.240508,0.027,1093.7,transit,,1361.5,0.53,4204,[37],282.842,1.06495,30.8802,0
Kepler-316c,,0.103,6.827766,0.058,1093.7,transit,,1361.5,0.53,4204,[37],282.842,1.15463,31.14148,0
Kepler-317b,,0.186,5.524242,0.061,1093.7,transit,,1361.5,0.95,5497,[37],282.842,2.08506,35.87976,0
Kepler-317c,,0.153,8.77501,0.083,1093.7,transit,,1361.5,0.95,5497,[37],282.842,1.71513,37.79948,0
Kepler-318b,,0.42,4.662715,0.056,1093.7,transit,,1361.5,1.05,5746,[37],282.842,4.7082,25.2872,0
Kepler-318c,,0.328,11.815007,0.105,1093.7,transit,,1361.5,1.05,5746,[37],282.842,3.67688,30.39248,0
Kepler-319b,,0.145,4.362705,0.051,1093.7,transit,,1361.5,1.29,5526,[37],282.842,1.62545,32.7182,0
Kepler-319c,,0.235,6.941357,0.069,1093.7,transit,,1361.5,1.29,5526,[37],282.842,2.63435,29.0426,0
Kepler-319d,,0.204,31.781925,0.191,1093.7,transit,,1361.5,1.29,5526,[37],282.842,2.28684,32.87264,0
Kepler-320b,,0.102,8.371554,0.085,1093.7,transit,,1361.5,0.97,6435,[37],282.842,1.14342,40.52632,0
Kepler-320c,,0.122,17.934937,0.142,1093.7,transit,,1361.5,0.97,6435,[37],282.842,1.36762,40.76952,0
Kepler-321b,,0.158,4.915379,0.057,1093.7,transit,,1361.5,1.01,5740,[37],282.842,1.77118,37.85528,0
Kepler-321c,,0.207,13.093921,0.11,1093.7,transit,,1361.5,1.01,5740,[37],282.842,2.32047,36.71812,0
Kepler-322b,,0.09,1.653888,0.027,1093.7,transit,,1361.5,0.91,5388,[37],282.842,1.0089,38.7044,0
Kepler-322c,,0.149,4.337234,0.051,1093.7,transit,,1361.5,0.91,5388,[37],282.842,1.67029,36.53884,0
Kepler-323b,,0.128,1.678327,0.028,1093.7,transit,,1361.5,1.09,5987,[37],282.842,1.43488,37.02048,0
Kepler-323c,,0.145,3.553822,0.046,1093.7,transit,,1361.5,1.09,5987,[37],282.842,1.62545,36.6182,0
Kepler-324b,,0.102,4.385315,0.05,1093.7,transit,,1361.5,0.86,5194,[37],282.842,1.14342,37.62632,0
Kepler-324c,,0.281,51.805612,0.26,1093.7,transit,,1361.5,0.86,5194,[37],282.842,3.15001,33.79996,0
Kepler-325b,,0.26,4.544439,0.053,1093.7,transit,,1361.5,0.87,5752,[37],282.842,2.9146,30.8016,0
Kepler-325c,,0.227,12.762172,0.105,1093.7,transit,,1361.5,0.87,5752,[37],282.842,2.54467,33.32132,0
Kepler-325d,,0.249,38.715185,0.22,1093.7,transit,,1361.5,0.87,5752,[37],282.842,2.79129,34.63484,0
Kepler-326b,,0.136,2.248329,0.032,1093.7,transit,,1361.5,0.98,5105,[37],282.842,1.52456,38.14176,0
Kepler-326c,,0.125,4.580358,0.051,1093.7,transit,,1361.5,0.98,5105,[37],282.842,1.40125,39.015,0
Kepler-326d,,0.108,6.766888,0.066,1093.7,transit,,1361.5,0.98,5105,[37],282.842,1.21068,40.07728,0
Kepler-327b,,0.099,2.549575,0.029,1093.7,transit,,1361.5,0.55,3799,[37],282.842,1.10979,31.14084,0
Kepler-327c,,0.092,5.212333,0.047,1093.7,transit,,1361.5,0.55,3799,[37],282.842,1.03132,31.81472,0
Kepler-327d,,0.154,13.969457,0.09,1093.7,transit,,1361.5,0.55,3799,[37],282.842,1.72634,29.89464,0
Kepler-329b,,0.125,7.416397,0.061,1093.7,transit,,1361.5,0.53,4257,[37],282.842,1.40125,30.215,0
Kepler-329c,,0.172,18.684737,0.113,1093.7,transit,,1361.5,0.53,4257,[37],282.842,1.92812,29.14752,0
Kepler-330b,,0.12,8.25978,0.075,1093.7,transit,,1361.5,0.78,5117,[37],282.842,1.3452,35.7192,0
Kepler-330c,,0.174,15.955387,0.116,1093.7,transit,,1361.5,0.78,5117,[37],282.842,1.95054,34.11784,0
Kepler-331b,,0.162,8.457496,0.065,1093.7,transit,,1361.5,0.51,4347,[37],282.842,1.81602,28.23592,0
Kepler-331c,,0.164,17.28111,0.105,1093.7,transit,,1361.5,0.51,4347,[37],282.842,1.83844,28.94624,0
Kepler-331d,,0.146,32.134328,0.159,1093.7,transit,,1361.5,0.51,4347,[37],282.842,1.63666,30.83336,0
Kepler-332b,,0.104,7.626324,0.07,1093.7,transit,,1361.5,0.8,4955,[37],282.842,1.16584,36.73664,0
Kepler-332c,,0.097,15.995622,0.114,1093.7,transit,,1361.5,0.8,4955,[37],282.842,1.08737,37.93052,0
Kepler-332d,,0.105,34.21154,0.189,1093.7,transit,,1361.5,0.8,4955,[37],282.842,1.17705,39.0718,0
Kepler-333b,,0.118,12.551158,0.087,1093.7,transit,,1361.5,0.54,4259,[37],282.842,1.32278,31.24888,0
Kepler-333c,,0.099,24.08821,0.135,1093.7,transit,,1361.5,0.54,4259,[37],282.842,1.10979,33.06084,0
Kepler-334b,,0.1,5.470319,0.061,1093.7,transit,,1361.5,1,5828,[37],282.842,1.121,40.736,0
Kepler-334c,,0.128,12.758005,0.107,1093.7,transit,,1361.5,1,5828,[37],282.842,1.43488,40.40048,0
Kepler-334d,,0.126,25.09849,0.168,1093.7,transit,,1361.5,1,5828,[37],282.842,1.41246,41.71016,0
Kepler-335b,,0.302,6.562331,0.075,1093.7,transit,,1361.5,0.99,5877,[37],282.842,3.38542,31.75832,0
Kepler-335c,,0.274,67.844469,0.356,1093.7,transit,,1361.5,0.99,5877,[37],282.842,3.07154,38.63384,0
Kepler-336b,,0.091,2.024823,0.033,1093.7,transit,,1361.5,0.89,5867,[37],282.842,1.02011,38.37956,0
Kepler-336c,,0.187,9.600001,0.092,1093.7,transit,,1361.5,0.89,5867,[37],282.842,2.09627,35.25492,0
Kepler-336d,,0.211,20.678772,0.154,1093.7,transit,,1361.5,0.89,5867,[37],282.842,2.36531,35.41876,0
Kepler-337b,,0.137,3.292781,0.045,1093.7,transit,,1361.5,0.96,5684,[37],282.842,1.53577,37.95692,0
Kepler-337c,,0.183,9.693201,0.093,1093.7,transit,,1361.5,0.96,5684,[37],282.842,2.05143,36.85428,0
Kepler-338b,,0.218,13.726976,0.117,1093.7,transit,,1361.5,1.1,5923,[37],282.842,2.44378,34.56488,0
Kepler-338c,,0.209,24.310856,0.172,1093.7,transit,,1361.5,1.1,5923,[37],282.842,2.34289,36.06844,0
Kepler-338d,,0.268,44.431014,0.257,1093.7,transit,,1361.5,1.1,5923,[37],282.842,3.00428,35.12288,0
Kepler-338e,0.027,0.139,9.341,0.117,1093.7,timing,,1361.5,1.1,5923,?,8.5806,1.55819,42.94604,0
Kepler-339b,,0.127,4.977656,0.055,1093.7,transit,,1361.5,0.84,5631,[37],282.842,1.42367,36.20532,0
Kepler-339c,,0.103,6.988055,0.069,1093.7,transit,,1361.5,0.84,5631,[37],282.842,1.15463,37.56148,0
Kepler-339d,,0.104,10.558345,0.091,1093.7,transit,,1361.5,0.84,5631,[37],282.842,1.16584,37.95664,0
Kepler-340b,,0.226,14.844387,0.134,1093.7,transit,,1361.5,2.11,6620,[37],282.842,2.53346,16.54616,0
Kepler-340c,,0.301,22.824669,0.178,1093.7,transit,,1361.5,2.11,6620,[37],282.842,3.37421,14.06316,0
Kepler-341b,,0.105,5.195528,0.06,1093.7,transit,,1361.5,0.94,6012,[37],282.842,1.17705,39.2918,0
Kepler-341c,,0.152,8.01041,0.08,1093.7,transit,,1361.5,0.94,6012,[37],282.842,1.70392,37.58432,0
Kepler-341d,,0.165,27.666313,0.182,1093.7,transit,,1361.5,0.94,6012,[37],282.842,1.84965,39.0414,0
Kepler-341e,,0.178,42.473269,0.242,1093.7,transit,,1361.5,0.94,6012,[37],282.842,1.99538,39.65848,0
Kepler-342b,,0.201,15.170318,0.128,1093.7,transit,,1361.5,1.13,6175,[37],282.842,2.25321,34.94716,0
Kepler-342c,,0.175,26.234138,0.185,1093.7,transit,,1361.5,1.13,6175,[37],282.842,1.96175,37.253,0
Kepler-342d,,0.222,39.459357,0.242,1093.7,transit,,1361.5,1.13,6175,[37],282.842,2.48862,36.28552,0
Kepler-343b,,0.215,8.96855,0.088,1093.7,transit,,1361.5,1.04,5807,[37],282.842,2.41015,35.3194,0
